Player,TEAM,TYPE,SEASON,AGE,GP,W,L,MIN,FGM,FGA,FGP,3PM,3PA,3PP,FTM,FTA,FTP,OREB,DREB,REB,AST,TOV,STL,BLK,PF,DD2,TD3,PTS,Plus_Minus,OffRtg,DefRtg,NetRtg,ASTP,AST/TO,AST Ratio,OREBP,DREBP,REBP,TO Ratio,eFGP,TSP,USGP,PACE,PIE
A.J. Price_2014-2015,CLE,Regular,2014-2015,28,26,11,15,12.4,2,5.3,37.2,0.6,2.2,26.3,0.6,0.9,66.7,0.2,1,1.2,1.8,0.5,0.3,0,0.6,0,0,5.1,-2.5,94.4,106.6,-12.2,25.4,3.29,22.2,1.9,9.6,5.5,6.7,42.7,45.1,22.6,92.17,8.9
Aaron Brooks_2014-2015,CHI,Regular,2014-2015,30,82,50,32,23,4.2,10,42.1,1.5,3.8,38.7,1.8,2.1,83.3,0.4,1.6,2,3.2,1.9,0.7,0.2,2.3,1,0,11.6,2.6,106.9,101.7,5.2,24.5,1.66,19.9,1.9,7.8,4.9,12,49.5,53.4,25.2,94.65,9.2
Aaron Gordon_2014-2015,ORL,Regular,2014-2015,19,47,14,33,17,2,4.4,44.7,0.3,1,27.1,0.9,1.3,72.1,1,2.6,3.6,0.7,0.8,0.4,0.5,1.8,1,0,5.2,-3.5,98.9,104.5,-5.6,6.4,0.87,10.8,6.4,17.1,11.7,12.4,47.8,51.7,15.6,96.63,7.4
Adreian Payne_2014-2015,MIN,Regular,2014-2015,24,32,7,25,23.1,2.8,6.9,41.4,0,0.3,11.1,0.9,1.4,65.2,1.5,3.6,5.1,0.9,1.4,0.6,0.3,2.8,3,0,6.7,-7.7,99.2,116.1,-16.9,6.7,0.68,9.5,7.3,18.6,12.7,14,41.6,44.3,17.6,94.41,4.7
Al Horford_2014-2015,ATL,Regular,2014-2015,29,76,56,20,30.5,6.8,12.7,53.8,0.1,0.5,30.6,1.4,1.9,75.9,1.7,5.4,7.2,3.2,1.3,0.9,1.3,1.6,14,1,15.2,3.8,107.6,101,6.6,17.8,2.44,17.8,6.8,19.3,13.4,7.3,54.4,56.3,22.5,95.85,14.5
Al Jefferson_2014-2015,CHA,Regular,2014-2015,30,65,25,40,30.6,7.5,15.5,48.1,0,0.1,40,1.7,2.5,65.5,1.5,6.9,8.4,1.7,1,0.7,1.3,2.1,22,0,16.6,-1.8,98.2,101.9,-3.7,11,1.66,8.9,5.4,26,15.4,5.4,48.2,50,26.7,95.12,14.2
Al-Farouq Aminu_2014-2015,DAL,Regular,2014-2015,24,74,45,29,18.5,2,4.8,41.2,0.5,1.7,27.4,1.1,1.6,71.2,1.5,3.1,4.6,0.8,0.7,0.9,0.8,1.9,4,0,5.6,1.4,107.1,101.4,5.7,6.2,1.07,11.3,9.1,18,13.6,10.5,45.9,50.4,15.1,97.48,9.1
Alan Anderson_2014-2015,BKN,Regular,2014-2015,32,74,35,39,23.6,2.6,5.9,44.3,1,2.8,34.8,1.1,1.4,81.2,0.4,2.3,2.8,1.1,0.8,0.8,0.1,2,0,0,7.4,-0.8,99.9,101.3,-1.4,7.4,1.38,13.2,2,10.9,6.5,9.6,52.6,56.3,14.2,95.68,7.1
Alec Burks_2014-2015,UTA,Regular,2014-2015,23,27,9,18,33.3,4.5,11.1,40.3,1,2.5,38.2,3.9,4.8,82.2,0.7,3.5,4.2,3,1.9,0.6,0.2,2.4,2,0,13.9,-4.8,103.7,111.1,-7.4,14.5,1.58,16.7,2.5,12.7,7.6,10.6,44.7,52.4,21,92.9,8.3
Alex Kirk_2014-2015,CLE,Regular,2014-2015,23,5,2,3,2.8,0.2,0.8,25,0,0,0,0.4,0.4,100,0.2,0,0.2,0.2,0,0,0,0.2,0,0,0.8,-2.8,79.3,141.1,-61.8,12.5,0,17,9.1,0,4.5,0,25,41,17,91.44,2.8
Alex Len_2014-2015,PHX,Regular,2014-2015,22,69,35,34,22,2.6,5.1,50.7,0,0,33.3,1.1,1.5,70.2,2.1,4.5,6.6,0.5,1.1,0.5,1.5,3.1,10,0,6.3,-0.4,102,101.5,0.5,3,0.43,6.3,10.2,22.3,16.3,14.7,50.8,54.2,13.5,100.21,8.4
