sampleNumber,pitchMin,pitchMax,pitchAve,energy,duration,f0,f1,f2,emotion
1,173.2129954526,445.0693068434,259.7484039392,0.0354142038,1.8254375,1879.3179770094,4268.1436118105,--undefined--,Happy
2,119.3535214404,238.9144046964,183.5431824173,0.0435172956,1.7385,900.280890183,2731.5016741871,4608.5523063933,Happy
3,170.8072628108,342.0864787298,295.4477839704,0.0222559147,1.4776875,1525.3973747062,2802.6729256436,--undefined--,Happy
4,211.8641171171,525.1389028004,286.6912538776,0.045536774,1.6515625,1294.0880002615,2912.1705913582,--undefined--,Happy
5,93.4735777129,431.4440730462,228.8176608378,0.0141247638,1.6298125,834.1686710202,2306.6356843658,4616.5952006202,Happy
6,155.938597869,443.1553403005,254.5471094298,0.0189124202,2.021,1117.5553254794,3208.3708326429,--undefined--,Happy
7,231.7307772711,480.4299066522,345.115636547,0.0203473535,1.890625,834.6248640494,2532.9883694124,--undefined--,Happy
8,142.991422702,303.0308248762,237.5870329542,0.0457824193,1.7601875,387.1656142692,2840.6934375542,4490.98812442,Happy
9,76.194967683,258.5847728428,198.6900402153,0.0161988708,1.564625,324.9229247365,2078.0943769981,3991.275353838,Happy
10,215.2828819264,297.4101027273,253.0924765233,0.0163446077,1.10825,1447.3677720631,2167.2618297904,4232.9009059539,Happy
11,173.0154096408,304.2242087621,221.6363894809,0.0273365987,1.7601875,1394.6275307617,3050.7681392623,--undefined--,Happy
12,139.5816777933,258.1640595869,209.0304382188,0.0241826678,1.2386875,1478.8721125229,3761.1790466783,--undefined--,Happy
13,142.2110952145,187.5565432071,169.9658778677,0.0235909007,1.8254375,325.6328540904,2419.6971547174,4568.6166319826,Happy
14,189.2447169904,525.0175984804,291.5865810261,0.020668288,1.6950625,2558.3979238565,4912.2315158534,--undefined--,Happy
15,75.5872796879,485.4878185986,294.7904428929,0.0237207974,1.31675,697.4616524969,2735.6407830714,4482.0906965892,Happy
16,184.6171790076,271.0922495148,225.3488773068,0.0176377744,1.303875,796.9447230596,--undefined--,--undefined--,Happy
17,216.0730624274,571.3085653417,329.0261821067,0.0360522303,1.3690625,994.5234329219,3643.0747665948,--undefined--,Happy
18,184.7201043061,403.2307163682,253.2319155246,0.0119203449,1.303875,1938.7958070775,4273.106622183,--undefined--,Happy
19,210.9816651515,454.215899936,284.8506388179,0.0167001748,1.43425,415.2067643512,2386.6282445992,4582.6981751407,Happy
20,191.159191793,416.5423531714,255.5721893085,0.0357397688,1.3690625,2349.8542582582,4722.1602615706,--undefined--,Happy
21,223.8515456643,309.6309412984,263.7908360161,0.0359294484,1.43425,1365.562920075,2057.2685949041,4610.0273011456,Happy
22,220.895322945,538.2023895201,404.6949995378,0.0208075056,1.303875,1549.6709133304,3665.4380748001,--undefined--,Happy
23,180.8895389876,403.4851294499,266.9982469059,0.0157246672,1.6298125,1423.4738717385,2342.3832376024,--undefined--,Happy
24,184.7831642817,505.64965255,392.3531644472,0.0171043884,1.43425,640.3431999689,2052.0148021979,4329.6588041812,Happy
25,171.7255532701,240.3698944138,198.0667577328,0.0167594454,1.4995,2597.5438487655,3496.642407204,--undefined--,Happy
26,211.0175364493,428.7351077551,283.7512369962,0.0166347614,1.4994375,773.6787732136,1709.5560442626,4129.4322865256,Happy
27,158.4456873148,407.6779526887,241.2204569142,0.0363559041,1.4994375,431.0699263039,3357.8655893065,4908.1216282409,Happy
28,152.6982361606,234.7254530547,203.3325291359,0.0150493033,1.303875,1761.2309132395,--undefined--,--undefined--,Happy
29,201.3948409221,419.4626564904,283.7988274514,0.0397210538,1.4994375,2892.7706802314,4689.9002388111,--undefined--,Happy
30,176.752692587,443.7870990304,248.8460310541,0.0159318373,1.31675,547.7155406522,1518.2522444656,4181.4626076637,Happy
31,153.6371898971,322.6143858694,211.9341575728,0.0353596802,1.6298125,1400.6365325622,3503.5576000475,4614.4030909509,Happy
32,126.7212622055,225.9956276391,180.8014226802,0.0299428069,1.4994375,1065.5855890954,3173.4674452344,--undefined--,Happy
33,144.9757475564,406.4095229209,256.6918859899,0.0290322292,1.43425,1194.8049390788,2245.7005651665,4645.723727137,Happy
34,190.8724101724,247.0263355611,208.3862181985,0.0165721617,1.43425,1086.0317588454,3717.3336444732,--undefined--,Happy
35,242.5901566392,445.7201077554,336.2554813648,0.0130156502,1.2386875,2669.4104659003,4810.3480101235,--undefined--,Happy
36,135.8952576565,189.7934738306,168.5089633158,0.0253558774,1.10825,1227.9617368958,4119.9335664152,--undefined--,Happy
37,222.7019023223,492.3086738449,276.5960011079,0.0199253454,1.3690625,2558.2906160878,4239.9926949802,--undefined--,Happy
38,201.6535793109,351.5157509454,233.3954710294,0.0194816739,1.466875,994.8194810085,2342.034449742,3393.8106145438,Happy
39,201.1579180919,431.4154574449,265.7921173042,0.0251687441,1.303875,425.1116909152,2883.6363748645,--undefined--,Happy
40,159.8228772034,259.7851483016,213.377551991,0.0160146263,1.1735,651.2485866309,2980.0075970848,--undefined--,Happy
41,223.1243038996,571.014422335,393.1005328015,0.0315298403,1.303875,1511.0242950498,4089.0050878001,--undefined--,Happy
42,128.9535769117,297.3159877401,247.3490613406,0.0434512626,1.5646875,306.0858884246,2662.9343646822,--undefined--,Happy
43,200.1098275837,403.8631422861,286.2105273485,0.0196154942,1.1734375,2253.4397210507,4652.7013895982,--undefined--,Happy
44,186.1877125879,268.4663835667,221.2474004904,0.0095556295,1.2386875,329.7851538774,2434.0976722218,4332.2607016453,Happy
45,216.6228397976,321.4637795579,261.2414888428,0.0345454327,1.1850625,783.1439488202,3077.3380148546,3789.9171610009,Happy
46,198.9195616957,493.0008792271,259.2837378055,0.0139758303,1.303875,1163.1732297329,3985.17728426,--undefined--,Happy
47,125.5577255289,227.0866229195,190.9886008205,0.0180433907,1.4343125,1015.1451064464,3098.2047261181,--undefined--,Happy
48,158.9132818444,257.116032376,223.4232735165,0.023047862,1.6135625,846.775363852,2829.92620019,--undefined--,Happy
49,220.3081864913,522.2439584766,327.6620010258,0.0209116154,1.2386875,1235.3029588784,3608.1726132455,--undefined--,Happy
50,177.4404364226,272.5487692511,217.7047657362,0.0306138302,1.6788125,911.7006326264,2043.7250741023,4467.5382870738,Happy
